country;wei;weg;ggpi;gender_parity_group;human_development_group;sustainable_development_goal_regions;family;birth_rate;education;youth_not_in_education ;labour_force_participation_rate;account_ownership;politics;managerial_positions;violence;good_health_female;good_health_male;secondary_education_female;secondary_education_male;youth_not_in_education_female;youth_not_in_education_male;labour_force_participation_female;labour_force_participation_male;account_ownershipt_female;account_ownershipt_male
Albania;0.61;Lower-middle;0.86;High;High;Europe and Northern America;10.5;14.46;54.37;25.45;70;45.7;35.7;34.11;6;87.92;89.17;54.37;52.38;25.45;26.2;70;94.2;45.69;42.59
Armenia;0.66;Lower-middle;0.77;Upper-middle;High;Northern Africa and Western Asia;44.5;18.31;89.97;17.43;59.2;52.2;35.5;29.65;5;87.29;89.51;89.97;89.77;17.43;29.42;59.2;94.6;52.18;59.38
Australia;0.81;High;0.87;High;Very high;Australia and New Zealand;85.3;7.73;79.14;8.96;77.6;100;44.5;39.7;3;84.55;86.34;79.14;81.01;8.96;8.89;77.6;94.2;100;98.59
Austria;0.78;Upper-middle;0.81;High;Very high;Europe and Northern America;88.7;5.24;76.17;10.34;76.5;100;40.6;35.45;4;85.82;88.03;76.17;86.38;10.34;14.07;76.5;96.8;100;99.9
Bangladesh;0.44;Low;0.53;Low;Medium;Central Asia and Southern Asia;73.7;73.35;28.88;44.55;42.7;43.5;20.9;10.74;23;85.11;88.02;28.88;38.01;44.55;9.81;42.7;98.4;43.46;62.86
Belgium;0.8;High;0.87;High;Very high;Europe and Northern America;90.3;5.11;72.34;6.6;79.6;98.7;43.3;35.41;5;85.4;87.98;72.34;73.76;6.6;8.2;79.6;95.3;98.65;99.37
Belize;0.57;Low;0.73;Upper-middle;Medium;Latin America and the Caribbean;71.1;56.57;45.83;41.31;42.1;52.3;23.9;39.41;8;86.56;88.95;45.83;40.74;41.31;18.99;42.1;98.6;52.28;44.09
Benin;0.42;Low;0.5;Low;Low;Sub-Saharan Africa;33.7;90.84;22.4;40.68;68.9;39.8;25.7;13.75;15;86.16;89.01;22.4;35.8;40.68;28.96;68.9;98.5;39.79;58.17
Bhutan;0.56;Low;0.63;Lower-middle;Medium;Central Asia and Southern Asia;80.4;18.48;13.78;12.16;72.9;27.7;16.9;39.71;9;85.33;87.79;13.78;20.42;12.16;6.93;72.9;97.2;27.68;38.99
Bolivia (Plurinational State of);0.63;Lower-middle;0.83;High;Medium;Latin America and the Caribbean;59.9;63.07;45.87;14.98;54.3;63.3;48.2;35.16;18;86.61;88.84;45.87;53.9;14.98;6.94;54.3;98.9;63.29;74.04
Bosnia and Herzegovina;0.6;Low;0.62;Lower-middle;High;Europe and Northern America;39.7;9.38;59.4;19.87;56.7;70.4;17.5;24.18;3;86.84;88.28;59.4;79.52;19.87;18.77;56.7;92.5;70.37;88.71
Botswana;0.56;Low;0.68;Lower-middle;Medium;Sub-Saharan Africa;86.4;48.34;37.6;40.39;65.6;46.8;11.1;58.48;17;85.27;88.09;37.6;41.2;40.39;33.71;65.6;95.8;46.79;56.21
