;;;;;;;;;;;;;;;;Fraction of life expectancy at birth spent in good health;Fraction of life expectancy at birth spent in good health;Population with completed secondary education or higher;Population with completed secondary education or higher;Youth not in education, employment or training ;Youth not in education, employment or training ;Labour force participation rate among prime-working-age individuals who are living as part of a household comprising couple and at least one child under age 6;Labour force participation rate among prime-working-age individuals who are living as part of a household comprising couple and at least one child under age 6;Account ownership at a financial institution or with a mobile-money-service provider ;Account ownership at a financial institution or with a mobile-money-service provider ;
Country;WEI;Women's empowerment group;GGPI;Gender parity group;Human development group;Sustainable development goal regions;Women of reproductive age whose need for family planning is satisfied with modern methods;Adolescent birth rate;Population with completed secondary education or higher, female ;Youth not in education, employment or training, female ;Labour force participation rate among prime-working-age individuals who are living in a household comprising a couple and at least one child under age 6, female;Account ownership at a financial institution or with a mobile-money-service provider, female;Share of seats held by women in parliament;Share of managerial positions held by women;Ever-partnered women and girls subjected to physical and/or sexual violence by a current or former intimate partner in the previous 12 months ;Female;Male;Female;Male;Female;Male;Female;Male;Female;Male;
Albania;0.61;Lower-middle;0.86;High;High;Europe and Northern America;10.5;14.46;54.36544028;25.45;70;45.69;35.71428571;34.11485293;6;87.91760035;89.17424366;54.36544028;52.3799646;25.45;26.2;70;94.2;45.69;42.59;
Armenia;0.656;Lower-middle;0.77;Upper-middle;High;Northern Africa and Western Asia;44.5;18.305;89.96639252;17.43;59.2;52.18;35.51401869;29.65354961;5;87.29006905;89.5095223;89.96639252;89.77474213;17.43;29.42;59.2;94.6;52.18;59.38;
Australia;0.805;High;0.87;High;Very high;Australia and New Zealand;85.3;7.731;79.13703918;8.96;77.6;100;44.49339207;39.69914187;3;84.54805922;86.33732887;79.13703918;81.00550842;8.96;8.89;77.6;94.2;100;98.59;
Austria;0.778;Upper-middle;0.808;High;Very high;Europe and Northern America;88.7;5.243;76.17335186;10.34;76.5;100;40.57377049;35.45156557;4;85.81526379;88.03088274;76.17335186;86.38254637;10.34;14.07;76.5;96.8;100;99.9;
Bangladesh;0.443;Low;0.527;Low;Medium;Central Asia and Southern Asia;73.7;73.345;28.88113107;44.55;42.7;43.46;20.85714286;10.73910075;23;85.11171557;88.01884426;28.88113107;38.01313334;44.55;9.81;42.7;98.4;43.46;62.86;
Belgium;0.801;High;0.869;High;Very high;Europe and Northern America;90.3;5.105;72.34349133;6.6;79.6;98.65;43.33333333;35.40861908;5;85.39965223;87.98447371;72.34349133;73.75865485;6.6;8.2;79.6;95.3;98.65;99.37;
Belize;0.569;Low;0.73;Upper-middle;Medium;Latin America and the Caribbean;71.1;56.569;45.82646942;41.31;42.1;52.28;23.91304348;39.41074523;8;86.55674556;88.94931579;45.82646942;40.74151993;41.31;18.99;42.1;98.6;52.28;44.09;
Benin;0.418;Low;0.497;Low;Low;Sub-Saharan Africa;33.7;90.835;22.4;40.68;68.9;39.79;25.68807339;13.7466837;15;86.15741892;89.00937979;22.4;35.8;40.68;28.96;68.9;98.5;39.79;58.17;
Bhutan;0.562;Low;0.625;Lower-middle;Medium;Central Asia and Southern Asia;80.4;18.481;13.78464031;12.16;72.9;27.68;16.90140845;39.71204388;9;85.33292315;87.78717022;13.78464031;20.41818047;12.16;6.93;72.9;97.2;27.68;38.99;
Bolivia (Plurinational State of);0.632;Lower-middle;0.829;High;Medium;Latin America and the Caribbean;59.9;63.073;45.86999893;14.98;54.3;63.29;48.19277108;35.16223438;18;86.60832477;88.83682117;45.86999893;53.90000153;14.98;6.94;54.3;98.9;63.29;74.04;
Bosnia and Herzegovina;0.597;Low;0.622;Lower-middle;High;Europe and Northern America;39.7;9.384;59.39936829;19.87;56.7;70.37;17.54385965;24.18210936;3;86.84410931;88.27632016;59.39936829;79.51641083;19.87;18.77;56.7;92.5;70.37;88.71;
Botswana;0.56;Low;0.675;Lower-middle;Medium;Sub-Saharan Africa;86.4;48.343;37.6;40.39;65.6;46.79;11.11111111;58.48220749;17;85.26763572;88.08549594;37.6;41.2;40.39;33.71;65.6;95.8;46.79;56.21;
Brazil;0.637;Lower-middle;0.68;Lower-middle;High;Latin America and the Caribbean;89.3;43.582;55.47000122;28.27;60.9;80.87;17.67676768;38.7832959;6;84.85763521;87.56994625;55.47000122;51.43000031;28.27;18.63;60.9;95.6;80.87;87.05;
Bulgaria;0.701;Upper-middle;0.767;Upper-middle;High;Europe and Northern America;70.9;38.215;76.86290741;15.38;72;84.32;24.16666667;38.28787898;6;87.42711613;89.19949174;76.86290741;78.78907776;15.38;12.73;72;96.6;84.32;83.59;
Burkina Faso;0.443;Low;0.595;Low;Low;Sub-Saharan Africa;57.6;108.692;5.268700243;49.1;56.5;30.68;16.90140845;58.1103269;11;86.25076179;88.89048553;5.268700243;12.802007;49.1;30.45;56.5;87.9;30.68;42.35;
Burundi;0.53;Low;0.765;Upper-middle;Low;Sub-Saharan Africa;47.9;52.595;4.213063439;10.94;93.8;6.73;38.88888889;33.79016155;22;86.48182756;87.69586753;4.213063439;9.119865542;10.94;11.46;93.8;96.7;6.73;7.5;
Cambodia;0.542;Low;0.619;Lower-middle;Medium;Eastern Asia and South-Eastern Asia;63.6;45.657;6.43545879;12.59;82.3;32.52;19.2513369;30.99220317;9;86.63880187;88.96235853;6.43545879;16.93704432;12.59;10.04;82.3;98.4;32.52;34.41;
Cameroon;0.52;Low;0.752;Upper-middle;Medium;Sub-Saharan Africa;49;108.618;18.57348147;23.07;69.7;49.25;31.07142857;49.26279586;22;86.21089191;88.69329766;18.57348147;32.28844891;23.07;10.54;69.7;79.1;49.25;54.15;
Canada;0.783;Upper-middle;0.806;High;Very high;Europe and Northern America;92.5;6.618;86.64492033;10.55;74.25;99.51;35.1981352;35.51897514;3;85.63070844;87.70346665;86.64492033;85.05014012;10.55;13.04;74.25;94.09;99.51;99.77;
Chile;0.699;Lower-middle;0.76;Upper-middle;Very high;Latin America and the Caribbean;84.8;22.793;62.91999817;18.34;54.2;86.62;32.68292683;30.37009931;6;85.35478016;88.31224173;62.91999817;63.70999908;18.34;14.27;54.2;95.6;86.62;87.56;
China;0.664;Lower-middle;0.725;Upper-middle;High;Eastern Asia and South-Eastern Asia;92;11.146;32.39313269;18.538;70.8;87.34;24.94117647;24.95881384;8;86.9857694;89.93928904;32.39313269;37.04922989;18.538;13.057;70.8;96.6;87.34;89.92;
Colombia;0.592;Low;0.693;Lower-middle;High;Latin America and the Caribbean;87;57.612;55.36999893;35.7;54.3;56.2;29.35153584;35.31068647;12;86.08083385;87.90956856;55.36999893;52.5;35.7;18.74;54.3;97.7;56.2;63.51;
Congo (Democratic Republic of the);0.399;Low;0.637;Lower-middle;Low;Sub-Saharan Africa;33.6;107.481;21.63013752;33.88;73.3;24.22;14.77832512;41.9441146;36;85.53596895;88.01927993;21.63013752;39.29420076;33.88;28.66;73.3;89.7;24.22;27.39;
Costa Rica;0.677;Lower-middle;0.844;High;Very high;Latin America and the Caribbean;83.7;35.749;41.47999954;22.63;53.1;61.08;47.36842105;40.2405536;7;85.48515422;87.65799614;41.47999954;38.40999985;22.63;16.02;53.1;98.7;61.08;76.34;
Côte d'Ivoire;0.455;Low;0.594;Low;Medium;Sub-Saharan Africa;47.1;103.293;16.51659811;31.46;64.8;37.44;15.86402266;30.7159724;16;85.79841498;88.29824819;16.51659811;20.0488546;31.46;11.88;64.8;88.9;37.44;64.01;
Croatia;0.73;Upper-middle;0.772;Upper-middle;Very high;Europe and Northern America;63.6;8.236;81.24615297;13.27;77.4;89.96;31.78807947;28.89277135;4;86.34550425;88.29084421;81.24615297;85.97803016;13.27;12.15;77.4;97.9;89.96;93.93;
Cyprus;0.649;Lower-middle;0.641;Lower-middle;Very high;Northern Africa and Western Asia;63.6;6.825;73.36621857;13.71;75.5;92.7;14.28571429;21.02089552;3;85.72484282;88.54651041;73.36621857;75.64958191;13.71;13.85;75.5;99.3;92.7;93.62;
Czechia;0.707;Upper-middle;0.68;Lower-middle;Very high;Europe and Northern America;83.3;9.364;87.78894881;8.42;39;93.44;23.84341637;28.36730517;4;86.13645723;87.77209478;87.78894881;94.13927431;8.42;4.9;39;98.3;93.44;96.48;
Denmark;0.804;High;0.845;High;Very high;Europe and Northern America;87.8;1.814;80.21299744;7.15;81.9;100;43.57541899;28.2227355;3;85.97333311;88.80145592;80.21299744;78.4313736;7.15;7.02;81.9;95.5;100;100;
Dominican Republic;0.603;Lower-middle;0.771;Upper-middle;High;Latin America and the Caribbean;81.9;63.198;47.20999908;33.57;60.2;48.96;25.67567568;42.82276316;10;86.69241665;88.98668443;47.20999908;37.90999985;33.57;21.12;60.2;98.2;48.96;53.7;
Ecuador;0.63;Lower-middle;0.751;Upper-middle;High;Latin America and the Caribbean;81.3;62.065;45.16999817;27.15;59.3;57.95;38.68613139;37.77021299;8;86.04237365;88.60486109;45.16999817;45.74000168;27.15;10.57;59.3;99.4;57.95;70.59;
Egypt;0.466;Low;0.534;Low;High;Northern Africa and Western Asia;80.6;43.603;72.34722657;42.16;22.5;24.2;22.86995516;12.36658277;15;85.89509385;89.50859182;72.34722657;69.36595011;42.16;16.75;22.5;96.7;24.2;30.57;
El Salvador;0.542;Low;0.66;Lower-middle;Medium;Latin America and the Caribbean;81.5;54.546;31.95000076;37.38;40.3;29.23;27.38095238;41.06196696;6;85.71280851;87.34891838;31.95000076;39.717992;37.38;14.1;40.3;96.9;29.23;44.8;
Estonia;0.75;Upper-middle;0.774;Upper-middle;Very high;Europe and Northern America;77.8;8.1;86.11192322;9.72;53.7;99.6;27.72277228;41.17813801;4;86.82773115;88.88421713;86.11192322;85.33274841;9.72;12.12;53.7;96.4;99.6;99.12;
Finland;0.787;Upper-middle;0.86;High;Very high;Europe and Northern America;90.5;4.1;79.37730458;6.87;60.2;99.08;45.5;36.54261705;8;85.7120602;88.3380253;79.37730458;77.06748675;6.87;8.43;60.2;92.9;99.08;100;
France;0.792;Upper-middle;0.861;High;Very high;Europe and Northern America;91.2;9.442;70.92574985;10.35;77.4;100;36.75675676;37.79329375;5;85.86267614;89.09843176;70.92574985;75.19989932;10.35;12.54;77.4;95.1;100;98.42;
Gambia;0.427;Low;0.524;Low;Low;Sub-Saharan Africa;43.9;60.681;14.7572155;29.72;55.4;24.76;8.620689655;19.57342813;10;85.35545408;88.96127526;14.7572155;26.10256577;29.72;29.14;55.4;90.3;24.76;32.69;
Germany;0.762;Upper-middle;0.78;Upper-middle;Very high;Europe and Northern America;87.3;7.186;80.73567963;7.66;70.1;100;35.52795031;29.21174652;5.442461897;85.05842944;88.49568211;80.73567963;86.80674744;7.66;7.39;70.1;94.2;100;99.95;
Ghana;0.524;Low;0.563;Low;Medium;Sub-Saharan Africa;49.8;63.41;26.09751145;25.25;80.9;62.58;14.54545455;33.72545577;10;86.15020652;88.80170824;26.09751145;37.40196778;25.25;20.76;80.9;95.6;62.58;74.18;
