;;;;;;;;;participation in decisionmaking;participation in decisionmaking;
;WEI;life and good health;life and good health;education, skill-building and knowledge;education, skill-building and knowledge;labour and financial inclusion;labour and financial inclusion;participation in decisionmaking;share of seats held by women;share of managerial positions held by women;freedom from violence
country;value;women of reproductive age whose need for family planning is satisfied with modern methods;adolescent birth rate;population with completed secondary education or higher, female ;youth not in education, employment or training, female ;labour force participation rate among prime-working-age individuals who are living in a household comprising a couple and at least one child under age 6, female;account ownership at a financial institution or with a mobile-money-service provider, female;share of seats held by women;in parliament ;in local government ;ever-partnered women and girls subjected to physical and/or sexual violence by a current or former intimate partner in the previous 12 months 
Australia;0.805;85.3;7.731;79.13703918;8.96;77.6;100;44.49339207;33.9;39.69914187;3
Belgium;0.801;90.3;5.105;72.34349133;6.6;79.6;98.65;43.33333333;39;35.40861908;5
Denmark;0.804;87.8;1.814;80.21299744;7.15;81.9;100;43.57541899;37;28.2227355;3
Iceland;0.816;80.1;5.077;73.82695007;4.64;68.2;100;47.61904762;51.3;37.57144524;3
Norway;0.802;88.6;2.195;79.29237512;5.7;63.8;100;46.15384615;40.8;33.4686132;4
Sweden;0.828;86.7;3.312;77.91133215;4.66;82.8;100;46.41833811;44;42.97750685;6
Austria;0.778;88.7;5.243;76.17335186;10.34;76.5;100;40.57377049;26.3;35.45156557;4
Bulgaria;0.701;70.9;38.215;76.86290741;15.38;72;84.32;24.16666667;27.2;38.28787898;6
Canada;0.783;92.5;6.618;86.64492033;10.55;74.25;99.51;35.1981352;26.6;35.51897514;3
Croatia;0.73;63.6;8.236;81.24615297;13.27;77.4;89.96;31.78807947;30;28.89277135;4
Czechia;0.707;83.3;9.364;87.78894881;8.42;39;93.44;23.84341637;29;28.36730517;4
Estonia;0.75;77.8;8.1;86.11192322;9.72;53.7;99.6;27.72277228;29.5;41.17813801;4
Finland;0.787;90.5;4.1;79.37730458;6.87;60.2;99.08;45.5;40.2;36.54261705;8
France;0.792;91.2;9.442;70.92574985;10.35;77.4;100;36.75675676;42.3;37.79329375;5
Germany;0.762;87.3;7.186;80.73567963;7.66;70.1;100;35.52795031;30.3;29.21174652;5.442461897
Hungary;0.707;79.2;21.889;76.37225342;13.17;76.5;86.88;13.06532663;30.5;36.59713271;6
Ireland;0.759;88.4;5.872;75.70702678;6.83;71.8;99.53;27.39726027;23.9;38.00951421;3
Italy;0.7;74.1;3.899;51.77241135;20;59.6;97.09;33.00330033;32.4;28.60878719;4
Latvia;0.782;80.9;10.536;93.46544118;9.09;75.2;97.55;29;30.5;45.89239445;6
Lithuania;0.756;72.6;9.714;89.02606964;10.9;83.2;90.38;28.36879433;29.4;36.97486983;5
Luxembourg;0.737;80.1;4.248;72.47380752;7.35;77.6;98.18;35;25.1;21.94624792;4
Netherlands;0.778;88.4;2.747;69.79843903;5.01;85;99.47;37.77777778;35;25.9520004;5
