;;life and good health;life and good health;education, skill-building and knowledge;education, skill-building and knowledge;education, skill-building and knowledge;education, skill-building and knowledge;labour and financial inclusion;labour and financial inclusion;labour and financial inclusion;labour and financial inclusion;participation in decisionmaking;participation in decisionmaking;participation in decisionmaking
;GGPI;fraction of life expectancy at birth spent in good health;fraction of life expectancy at birth spent in good health;population with completed secondary education or higher;population with completed secondary education or higher;youth not in education, employment or training ;youth not in education, employment or training ;labour force participation rate among prime-working-age individuals who are living as part of a household comprising couple and at least one child under age 6;labour force participation rate among prime-working-age individuals who are living as part of a household comprising couple and at least one child under age 6;account ownership at a financial institution or with a mobile-money-service provider ;account ownership at a financial institution or with a mobile-money-service provider ;share of seats held by women;share of seats held by women;
country;value;female;male;female;male;female;male;female;male;female;male;in parliament;in local government;Share of managerial positions held by women
Albania;0.86;87.91760035;89.17424366;54.36544028;52.3799646;25.45;26.2;70;94.2;45.69;42.59;35.71428571;43.6;34.11485293
Australia;0.87;84.54805922;86.33732887;79.13703918;81.00550842;8.96;8.89;77.6;94.2;100;98.59;44.49339207;33.9;39.69914187
Austria;0.808;85.81526379;88.03088274;76.17335186;86.38254637;10.34;14.07;76.5;96.8;100;99.9;40.57377049;26.3;35.45156557
Belgium;0.869;85.39965223;87.98447371;72.34349133;73.75865485;6.6;8.2;79.6;95.3;98.65;99.37;43.33333333;39;35.40861908
Bolivia (Plurinational State of);0.829;86.60832477;88.83682117;45.86999893;53.90000153;14.98;6.94;54.3;98.9;63.29;74.04;48.19277108;50.4;35.16223438
Canada;0.806;85.63070844;87.70346665;86.64492033;85.05014012;10.55;13.04;74.25;94.09;99.51;99.77;35.1981352;26.6;35.51897514
Costa Rica;0.844;85.48515422;87.65799614;41.47999954;38.40999985;22.63;16.02;53.1;98.7;61.08;76.34;47.36842105;45.5;40.2405536
Denmark;0.845;85.97333311;88.80145592;80.21299744;78.4313736;7.15;7.02;81.9;95.5;100;100;43.57541899;37;28.2227355
Finland;0.86;85.7120602;88.3380253;79.37730458;77.06748675;6.87;8.43;60.2;92.9;99.08;100;45.5;40.2;36.54261705
