country;women empowerment index;global gender parity index
Australia;0.805;0.87
Belgium;0.801;0.869
Denmark;0.804;0.845
Iceland;0.816;0.914
Norway;0.802;0.887
Sweden;0.828;0.925
Austria;0.778;0.808
Bulgaria;0.701;0.767
Canada;0.783;0.806
Croatia;0.73;0.772
Czechia;0.707;0.68
Estonia;0.75;0.774
Finland;0.787;0.86
France;0.792;0.861
Germany;0.762;0.78
Hungary;0.707;0.718
Ireland;0.759;0.781
Italy;0.7;0.767
Latvia;0.782;0.831
Lithuania;0.756;0.793
Luxembourg;0.737;0.757
Netherlands;0.778;0.807
Poland;0.757;0.798
Portugal;0.749;0.843
Serbia;0.72;0.816
Singapore;0.757;0.783
Slovenia;0.791;0.821
Spain;0.773;0.855
Switzerland;0.786;0.817
United Kingdom;0.778;0.821
United States;0.752;0.787
Albania;0.61;0.86
Armenia;0.656;0.77
Bolivia (Plurinational State of);0.632;0.829
Brazil;0.637;0.68
Chile;0.699;0.76
China;0.664;0.725
Costa Rica;0.677;0.844
Cyprus;0.649;0.641
Dominican Republic;0.603;0.771
Ecuador;0.63;0.751
Greece;0.679;0.703
Israel;0.694;0.714
Jamaica;0.694;0.824
Japan;0.651;0.627
Malta;0.696;0.747
Mauritius;0.613;0.728
Moldova (Republic of);0.686;0.878
Mongolia;0.67;0.784
Montenegro;0.64;0.719
Namibia;0.617;0.856
North Macedonia;0.682;0.776
Peru;0.64;0.799
Philippines;0.618;0.772
Romania;0.623;0.658
Slovakia;0.696;0.697
South Africa;0.68;0.823
Thailand;0.635;0.677
United Arab Emirates;0.68;0.783
Uruguay;0.688;0.825
Viet Nam;0.612;0.758
Bangladesh;0.443;0.527
Belize;0.569;0.73
Benin;0.418;0.497
Bhutan;0.562;0.625
Bosnia and Herzegovina;0.597;0.622
Botswana;0.56;0.675
Burkina Faso;0.443;0.595
Burundi;0.53;0.765
Cambodia;0.542;0.619
Cameroon;0.52;0.752
Colombia;0.592;0.693
Congo (Democratic Republic of the);0.399;0.637
Côte d'Ivoire;0.455;0.594
Egypt;0.466;0.534
El Salvador;0.542;0.66
Gambia;0.427;0.524
Ghana;0.524;0.563
Guatemala;0.482;0.575
Guinea;0.4;0.546
Honduras;0.544;0.716
India;0.52;0.56
Indonesia;0.568;0.652
Iran (Islamic Republic of);0.454;0.393
Iraq;0.363;0.486
Jordan;0.488;0.562
Kenya;0.591;0.769
Lao People's Democratic Republic;0.582;0.839
Lebanon;0.372;0.422
Lesotho;0.531;0.784
Liberia;0.435;0.604
Malawi;0.464;0.606
Maldives;0.518;0.575
Mali;0.4;0.579
Mexico;0.598;0.803
Myanmar;0.518;0.598
Nepal;0.491;0.618
Niger;0.307;0.662
Nigeria;0.444;0.514
Pakistan;0.337;0.428
Panama;0.563;0.646
Paraguay;0.593;0.695
Rwanda;0.565;0.846
Senegal;0.511;0.623
Sierra Leone;0.438;0.588
Sri Lanka;0.568;0.516
Tanzania (United Republic of);0.51;0.714
Togo;0.537;0.664
Tunisia;0.512;0.594
Türkiye;0.498;0.511
Uganda;0.463;0.672
Yemen;0.141;0.141
Zambia;0.441;0.637
Zimbabwe;0.519;0.655
